iter	Passed	Remaining
0	324	129597
1	486	96885
2	642	85021
3	790	78238
4	943	74535
5	1099	72204
6	1248	70104
7	1398	68506
8	1550	67352
9	1700	66334
10	1847	65318
11	1995	64521
12	2143	63803
13	2284	62986
14	2431	62409
15	2578	61872
16	2728	61473
17	2875	61030
18	3026	60682
19	3168	60210
20	3319	59907
21	3466	59556
22	3612	59209
23	3759	58898
24	3905	58586
25	4048	58235
26	4193	57934
27	4339	57649
28	4486	57399
29	4633	57142
30	4780	56898
31	4923	56621
32	5068	56367
33	5213	56116
34	5362	55919
35	5508	55693
36	5653	55464
37	5797	55226
38	5943	55012
39	6089	54805
40	6233	54583
41	6383	54409
42	6530	54219
43	6671	53976
44	6814	53759
45	6968	53630
46	7116	53451
47	7259	53236
48	7409	53077
49	7551	52861
50	7702	52709
51	7862	52619
52	8001	52387
53	8144	52188
54	8291	52008
55	8446	51884
56	8590	51691
57	8742	51548
58	8880	51327
59	9029	51165
60	9173	50977
61	9322	50821
62	9469	50656
63	9613	50473
64	9750	50251
65	9897	50085
66	10042	49913
67	10186	49734
68	10332	49568
69	10470	49363
70	10606	49147
71	10752	48984
72	10889	48779
73	11033	48606
74	11169	48401
75	11318	48251
76	11465	48093
77	11609	47927
78	11754	47761
79	11839	47356
80	11987	47211
81	12121	47008
82	12256	46810
83	12407	46676
84	12529	46434
85	12660	46224
86	12804	46067
87	12942	45886
88	13086	45729
89	13220	45537
90	13375	45418
91	13510	45231
92	13653	45070
93	13790	44891
94	13828	44395
95	13968	44234
96	14112	44084
97	14251	43916
98	14400	43784
99	14528	43586
100	14669	43428
101	14808	43262
102	14959	43135
103	15097	42970
104	15241	42821
105	15390	42687
106	15549	42579
107	15698	42444
108	15845	42302
109	15977	42122
110	16117	41962
111	16260	41813
112	16399	41651
113	16533	41478
114	16666	41303
115	16765	41047
116	16906	40894
117	17039	40722
118	17161	40524
119	17299	40364
120	17445	40224
121	17583	40066
122	17728	39924
123	17850	39731
124	17978	39553
125	18076	39310
126	18218	39163
127	18355	39004
128	18502	38869
129	18630	38693
130	18750	38503
131	18897	38368
132	19029	38201
133	19174	38062
134	19306	37897
135	19459	37775
136	19617	37659
137	19760	37516
138	19892	37351
139	20036	37210
140	20191	37090
141	20333	36943
142	20471	36791
143	20612	36644
144	20747	36487
145	20837	36251
146	20981	36110
147	21122	35965
148	21251	35798
149	21389	35649
150	21533	35509
151	21676	35367
152	21798	35190
153	21931	35033
154	22064	34875
155	22208	34736
156	22353	34597
157	22491	34449
158	22629	34299
159	22753	34130
160	22889	33979
161	23027	33830
162	23167	33685
163	23305	33537
164	23451	33401
165	23580	33239
166	23724	33100
167	23867	32959
168	24004	32810
169	24142	32663
170	24287	32524
171	24415	32365
172	24548	32211
173	24686	32063
174	24818	31910
175	24940	31741
176	25081	31599
177	25215	31447
178	25353	31302
179	25490	31154
180	25625	31005
181	25712	30798
182	25841	30642
183	25988	30508
184	26116	30352
185	26260	30213
186	26355	30020
187	26498	29881
188	26604	29701
189	26755	29572
190	26897	29432
191	27045	29299
192	27183	29155
193	27329	29019
194	27470	28879
195	27616	28743
196	27754	28599
197	27894	28457
198	28041	28322
199	28179	28179
200	28326	28044
201	28473	27910
202	28614	27768
203	28754	27627
204	28896	27487
205	29041	27350
206	29139	27169
207	29283	27030
208	29416	26883
209	29553	26738
210	29688	26593
211	29784	26412
212	29920	26268
213	30065	26131
214	30203	25989
215	30335	25841
216	30478	25703
217	30613	25557
218	30750	25414
219	30889	25273
220	31030	25133
221	31177	24997
222	31238	24794
223	31389	24663
224	31531	24524
225	31679	24390
226	31815	24246
227	31944	24098
228	32086	23960
229	32124	23744
230	32252	23595
231	32398	23461
232	32533	23317
233	32676	23181
234	32820	23043
235	32954	22900
236	33082	22753
237	33220	22611
238	33367	22477
239	33509	22339
240	33648	22199
241	33794	22063
242	33938	21927
243	34071	21783
244	34219	21649
245	34379	21522
246	34520	21383
247	34619	21218
248	34766	21083
249	34912	20947
250	35058	20811
251	35196	20671
252	35329	20527
253	35467	20386
254	35611	20249
255	35756	20112
256	35889	19969
257	36046	19839
258	36186	19700
259	36333	19564
260	36481	19428
261	36628	19292
262	36762	19150
263	36891	19004
264	37025	18862
265	37155	18717
266	37241	18550
267	37396	18419
268	37562	18292
269	37607	18107
270	37748	17968
271	37881	17826
272	38019	17686
273	38154	17545
274	38304	17411
275	38400	17252
276	38455	17075
277	38601	16940
278	38745	16803
279	38892	16668
280	39039	16532
281	39176	16393
282	39329	16259
283	39477	16124
284	39507	15941
285	39645	15802
286	39784	15664
287	39927	15527
288	40065	15388
289	40198	15247
290	40329	15106
291	40367	14930
292	40503	14791
293	40648	14655
294	40792	14519
295	40939	14384
296	41016	14224
297	41162	14089
298	41315	13956
299	41387	13795
300	41528	13658
301	41674	13523
302	41770	13372
303	41817	13205
304	41963	13070
305	42103	12933
306	42249	12798
307	42391	12662
308	42486	12512
309	42617	12372
310	42750	12234
311	42893	12098
312	43031	11960
313	43171	11823
314	43313	11687
315	43458	11552
316	43602	11416
317	43748	11281
318	43858	11136
319	43994	10998
320	44132	10861
321	44275	10725
322	44421	10589
323	44565	10453
324	44708	10317
325	44850	10180
326	44989	10043
327	45129	9906
328	45311	9778
329	45486	9648
330	45633	9512
331	45794	9379
332	45923	9239
333	46068	9103
334	46209	8966
335	46360	8830
336	46444	8682
337	46604	8548
338	46746	8411
339	46884	8273
340	47028	8136
341	47171	7999
342	47327	7864
343	47470	7727
344	47611	7590
345	47756	7453
346	47898	7315
347	48042	7178
348	48183	7041
349	48332	6904
350	48473	6766
351	48618	6629
352	48766	6492
353	48912	6355
354	49064	6219
355	49110	6069
356	49257	5932
357	49404	5796
358	49553	5659
359	49738	5526
360	49888	5389
361	50028	5251
362	50167	5113
363	50320	4976
364	50468	4839
365	50613	4701
366	50709	4559
367	50852	4421
368	50985	4283
369	51132	4145
370	51284	4008
371	51431	3871
372	51569	3732
373	51713	3595
374	51859	3457
375	52004	3319
376	52143	3181
377	52301	3044
378	52370	2901
379	52520	2764
380	52668	2626
381	52808	2488
382	52949	2350
383	53095	2212
384	53244	2074
385	53393	1936
386	53538	1798
387	53671	1659
388	53806	1521
389	53949	1383
390	54096	1245
391	54236	1106
392	54384	968
393	54519	830
394	54647	691
395	54789	553
396	54934	415
397	55074	276
398	55217	138
399	55356	0
